iter	Passed	Remaining
0	62	12383
1	114	11358
2	166	10959
3	224	10985
4	283	11053
5	336	10877
6	387	10680
7	441	10589
8	496	10543
9	549	10432
10	601	10329
11	654	10246
12	707	10179
13	765	10166
14	816	10075
15	870	10010
16	924	9953
17	979	9908
18	1032	9836
19	1083	9754
20	1136	9684
21	1193	9655
22	1245	9581
23	1296	9507
24	1350	9451
25	1404	9397
26	1457	9338
27	1513	9298
28	1569	9255
29	1625	9209
30	1676	9140
31	1727	9071
32	1783	9026
33	1836	8965
34	1887	8899
35	1940	8842
36	1993	8784
37	2049	8737
38	2099	8665
39	2150	8602
40	2205	8552
41	2260	8505
42	2314	8450
43	2365	8385
44	2419	8335
45	2479	8299
46	2532	8244
47	2606	8254
48	2669	8227
49	2732	8198
50	2784	8136
51	2842	8090
52	2895	8031
53	2960	8005
54	3025	7976
55	3090	7948
56	3166	7943
57	3226	7900
58	3309	7909
59	3432	8008
60	3514	8007
61	3580	7968
62	3661	7962
63	3735	7938
64	3796	7884
65	3856	7828
66	3917	7777
67	3974	7714
68	4029	7650
69	4086	7589
70	4145	7532
71	4208	7481
72	4273	7435
73	4345	7398
74	4411	7351
75	4486	7319
76	4565	7293
77	4639	7256
78	4710	7214
79	4762	7144
80	4823	7085
81	4895	7044
82	4961	6993
83	5021	6934
84	5080	6873
85	5146	6821
86	5211	6768
87	5277	6716
88	5341	6661
89	5394	6593
90	5449	6526
91	5515	6474
92	5587	6428
93	5647	6368
94	5700	6300
95	5758	6238
96	5810	6170
97	5862	6101
98	5915	6034
99	5976	5976
100	6041	5921
101	6105	5866
102	6167	5808
103	6219	5740
104	6270	5673
105	6321	5605
106	6382	5547
107	6434	5481
108	6486	5415
109	6538	5350
110	6597	5290
111	6648	5223
112	6698	5157
113	6755	5096
114	6815	5037
115	6868	4973
116	6932	4918
117	6996	4861
118	7064	4808
119	7134	4756
120	7204	4703
121	7271	4649
122	7340	4595
123	7408	4540
124	7475	4485
125	7550	4434
126	7614	4377
127	7672	4316
128	7725	4252
129	7784	4191
130	7841	4130
131	7899	4069
132	7960	4009
133	8018	3949
134	8100	3900
135	8190	3854
136	8247	3792
137	8309	3733
138	8394	3683
139	8462	3626
140	8531	3570
141	8594	3510
142	8648	3447
143	8710	3387
144	8775	3328
145	8834	3267
146	8889	3204
147	8950	3144
148	9013	3085
149	9073	3024
150	9131	2963
151	9194	2903
152	9259	2844
153	9328	2786
154	9387	2725
155	9450	2665
156	9503	2602
157	9562	2541
158	9624	2481
159	9684	2421
160	9742	2360
161	9801	2299
162	9870	2240
163	9934	2180
164	9991	2119
165	10052	2059
166	10106	1997
167	10168	1936
168	10231	1876
169	10289	1815
170	10348	1755
171	10405	1693
172	10472	1634
173	10535	1574
174	10600	1514
175	10660	1453
176	10713	1392
177	10767	1330
178	10830	1270
179	10890	1210
180	10947	1149
181	11007	1088
182	11067	1028
183	11099	965
184	11165	905
185	11196	842
186	11254	782
187	11308	721
188	11364	661
189	11428	601
190	11494	541
191	11552	481
192	11607	421
193	11665	360
194	11729	300
195	11790	240
196	11846	180
197	11902	120
198	11968	60
199	12037	0
